Month,Bus Ridership,Subway Ridership,AAR Ridership,LIRR Ridership,MNR Ridership,B&T
2008-01,60877526,130687792,534704,7078442,6453734,23956124
2008-02,57565433,125878662,508414,6616912,6144377,22447197
2008-03,63958459,137148128,573055,7149326,6602280,25164876
2008-04,63825353,136528969,584993,7259848,6787480,24900328
2008-05,65772096,140151863,600752,7306098,6840901,26172575
2008-06,62601798,136670880,606376,7629775,7008657,25940107
2008-07,61847908,137724560,617817,7929227,7298152,26189384
2008-08,58483278,130906150,615377,7555198,6826968,26448624
2008-09,64963231,138407478,624418,7317370,6833215,24633191
2008-10,67457310,145276862,673862,7576507,7322841,25258664
2008-11,59242738,128600655,616395,6565079,6357900,23914201
2008-12,60382275,135899369,624415,7374694,6989977,24218648
2009-01,58223329,126009217,602756,6635505,6176035,22260909
2009-02,56978360,120462055,617760,6086638,5731571,21497488
2009-03,65552893,136722849,707116,7007440,6593183,24295234
2009-04,62200951,133627175,705061,7042760,6600645,24839950
2009-05,63747544,133291045,716193,6794737,6387435,26019431
2009-06,61464352,134869386,735383,7478422,6864270,25847929
2009-07,58574643,132712155,722801,7286295,6830791,26152065
2009-08,55818511,124429585,708882,7154348,6392629,26084323
2009-09,61249310,132849077,732704,6932125,6511692,24838705
2009-10,65257140,140665575,765669,6997677,6788990,25300215
2009-11,59456522,129582208,710164,6532672,6336672,23898100
2009-12,57948039,134646273,716244,7002228,6761648,23775856
2010-01,55533410,124453847,686150,6247660,5935008,22601000
2010-02,51038263,116642180,608886,5811552,5572064,19389016
2010-03,63700317,141694962,774039,7007149,6769641,24782495
2010-04,61771578,137493648,753001,6931286,6675241,24845798
2010-05,61932523,136783505,764882,6743764,6580762,26252605
2010-06,60097655,137776559,777484,7279744,6992372,26218749
2010-07,56276086,131462116,724052,7238718,6832493,26250587
2010-08,54883150,129614344,764045,7108665,6747243,26468484
2010-09,58849229,134616599,734081,6834199,6693644,24895673
2010-10,61972651,142062724,806147,6804525,6867305,25745102
2010-11,58060105,135692863,706333,6563349,6654086,24276731
